Name,WHORegion,Cases_Cumulative_Total,Cases _Cumulative_Total_per_100000_Population,Cases_Newly_Reported_in_Last_7_Days,Cases _Newly_Reported_in_Last_7_Days_per_100000_Population,Cases_Newly_Reported_in_last_24_hours,Deaths_Cumulative_Total,Deaths_Cumulative_Total_per_100000_Population,Deaths_Newly_Reported_in_Last_7_Days,Deaths_Newly_Reported_in_Last_7_Days_per_100000_Population,Deaths_Newly_Reported_in_Last_24_Hours
Togo,Africa,25705,310.49,276,3.33,52,235,2.84,6,0.07,1
Benin,Africa,24335,200.73,445,3.67,0,159,1.31,0,0,0
Papua New Guinea,Western Pacific,22413,250.51,1958,21.88,517,245,2.74,11,0.12,2
Haiti,Americas,22354,196.04,382,3.35,0,634,5.56,19,0.17,0
Belize,Americas,21893,5505.9,1325,333.23,208,426,107.14,17,4.28,2
Seychelles,Africa,21726,22091.17,219,222.68,21,112,113.88,0,0,0
Bahamas,Americas,21518,5471.92,404,102.74,60,586,149.02,53,13.48,4
Lesotho,Africa,21433,1000.49,171,7.98,10,651,30.39,19,0.89,1
Somalia,Eastern Mediterranean,20900,131.5,920,5.79,0,1152,7.25,41,0.26,0
Mayotte,Africa,20385,7472.1,111,40.69,12,180,65.98,2,0.73,0
Timor-Leste,South-East Asia,19651,1490.47,116,8.8,18,119,9.03,2,0.15,0
Burundi,Africa,19041,160.13,770,6.48,69,14,0.12,0,0,0
Tajikistan,Europe,17484,183.32,0,0,0,125,1.31,0,0,0
Curaçao,Americas,16684,10167.41,219,133.46,34,168,102.38,6,3.66,3
Mauritius,Africa,16189,1272.95,494,38.84,0,106,8.33,22,1.73,0
Aruba,Americas,15578,14590.79,106,99.28,18,168,157.35,2,1.87,0
Mali,Africa,15395,76.02,175,0.86,26,552,2.73,4,0.02,0
Andorra,Europe,15288,19786.45,66,85.42,4,130,168.25,0,0,0
Congo,Africa,14833,268.81,474,8.59,0,206,3.73,9,0.16,0
Burkina Faso,Africa,14403,68.9,160,0.77,0,195,0.93,11,0.05,0
Guam,Western Pacific,13598,8056.88,516,305.73,79,210,124.43,13,7.7,0
Djibouti,Eastern Mediterranean,13116,1327.53,305,30.87,0,174,17.61,7,0.71,0
Equatorial Guinea,Africa,12657,902.15,295,21.03,125,154,10.98,7,0.5,4
South Sudan,Africa,12104,108.13,94,0.84,8,130,1.16,0,0,0
Iceland,Europe,12092,3320.76,253,69.48,57,33,9.06,0,0,0
Saint Lucia,Americas,11833,6444.04,374,203.67,106,215,117.09,14,7.62,0
Nicaragua,Americas,11739,177.2,466,7.03,0,205,3.09,1,0.02,0
Central African Republic,Africa,11401,236.06,30,0.62,0,100,2.07,0,0,0
Jersey,Europe,10146,9412.22,113,104.83,29,79,73.29,1,0.93,1
Gambia,Africa,9939,411.27,4,0.17,0,338,13.99,0,0,0
Barbados,Americas,9823,3418.18,1643,571.73,300,85,29.58,16,5.57,1
Yemen,Eastern Mediterranean,9299,31.18,232,0.78,28,1765,5.92,44,0.15,2
New Caledonia,Western Pacific,8860,3103.35,1432,501.58,204,185,64.8,66,23.12,8
Brunei Darussalam,Western Pacific,8262,1888.55,1146,261.96,112,40,9.14,8,1.83,1
Isle of Man,Europe,7899,9289.44,317,372.8,56,54,63.51,2,2.35,2
United States Virgin Islands,Americas,6916,6622.94,195,186.74,31,72,68.95,1,0.96,0
Eritrea,Africa,6734,189.88,12,0.34,5,42,1.18,0,0,0
Sierra Leone,Africa,6396,80.18,2,0.03,0,121,1.52,0,0,0
Guinea-Bissau,Africa,6115,310.72,8,0.41,3,135,6.86,0,0,0
Niger,Africa,6084,25.13,60,0.25,19,204,0.84,2,0.01,0
Liberia,Africa,5799,114.66,0,0,0,286,5.65,0,0,0
Gibraltar,Europe,5606,16639.46,57,169.18,9,97,287.91,0,0,0
Grenada,Americas,5531,4915.44,391,347.48,47,167,148.41,28,24.88,2
San Marino,Europe,5466,16105.84,26,76.61,2,91,268.14,0,0,0
Bermuda,Americas,5455,8759.82,211,338.83,30,87,139.71,15,24.09,5
Chad,Africa,5053,30.76,13,0.08,0,174,1.06,0,0,0
Sint Maarten,Americas,4375,10202.42,92,214.54,20,68,158.57,2,4.66,0
New Zealand,Western Pacific,4169,86.45,234,4.85,47,28,0.58,1,0.02,1
Comoros,Africa,4159,478.27,12,1.38,1,147,16.9,0,0,0
Saint Vincent and the Grenadines,Americas,3965,3574,457,411.93,99,33,29.75,12,10.82,0
Dominica,Americas,3893,5407.62,412,572.29,107,24,33.34,4,5.56,2
Saint Martin,Americas,3819,9878.68,24,62.08,0,36,93.12,1,2.59,0
Sao Tome and Principe,Africa,3600,1642.64,141,64.34,16,55,25.1,5,2.28,0
Antigua and Barbuda,Americas,3581,3656.73,350,357.4,63,87,88.84,8,8.17,2
Liechtenstein,Europe,3566,9203.29,8,20.65,0,58,149.69,0,0,0
Monaco,Europe,3327,8477.73,13,33.13,0,35,89.19,0,0,0
Turks and Caicos Islands,Americas,2884,7448.73,40,103.31,9,23,59.4,0,0,0
British Virgin Islands,Americas,2725,9012.14,49,162.05,0,37,122.37,0,0,0
Bhutan,South-East Asia,2613,338.64,12,1.56,0,3,0.39,0,0,0
Saint Kitts and Nevis,Americas,2246,4222.44,298,560.23,173,16,30.08,3,5.64,0
Bonaire,Americas,2145,10255.8,98,468.56,16,19,90.84,0,0,0
Guernsey,Europe,1666,2584.23,63,97.72,8,21,32.57,0,0,0
Saint Barthélemy,Americas,1649,16681.84,15,151.75,0,4,40.47,2,20.23,0
Faroe Islands,Europe,1259,2576.49,81,165.76,13,2,4.09,0,0,0
Cayman Islands,Americas,930,1415.09,95,144.55,10,2,3.04,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Greenland,Europe,601,1058.62,25,44.04,1,0,0,0,0,0
Anguilla,Americas,499,3326.22,90,599.92,46,1,6.67,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,277,481.26,8,13.9,4,3,5.21,1,1.74,1
Falkland Islands (Malvinas),Americas,67,1923.63,0,0,0,0,0,0,0,0
Montserrat,Americas,40,800.16,6,120.02,0,1,20,0,0,0
Saint Pierre and Miquelon,Americas,32,552.2,1,17.26,0,0,0,0,0,0
Sint Eustatius,Americas,28,892,0,0,0,1,31.86,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,11,569.06,0,0,0,0,0,0,0,0
Palau,Western Pacific,5,27.64,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,3,5.44,2,3.62,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
