Weight,Diameter,Color,Supplier,Country,Season
85,5.08,Dark Red,Obeliskmato,Turkey,Winter
106,4.02,Red,Obeliskmato,India,Spring
78,3.16,Dark Red,Tomatooryx,China,Summer
142,5.58,Dark Red,Obeliskmato,China,Winter
57,5.38,Red,Tomatoaster,Turkey,Spring
118,7.79,Dark Red,Tomatosio,Brazil,Winter
82,3.65,Dark Red,Obeliskmato,China,Spring
72,3.31,Dark Red,Obeliskmato,China,Summer
135,5.84,Red,Obeliskmato,Turkey,Spring
73,5.21,Red,Obeliskmato,Turkey,Summer
68,4.52,Red,Tomatoaster,China,Winter
138,5.51,Dark Red,Tomatooryx,India,Summer
108,7.72,Orange,Obeliskmato,Turkey,Summer
122,6.01,Orange,Tomatosio,Turkey,Summer
129,5.37,Dark Red,Tomatosio,Spain,Winter
79,8.01,Red,Tomatooryx,USA,Spring
162,8.67,Orange,Tomatooryx,Brazil,Fall
60,3.12,Dark Red,Tomatoaster,Spain,Winter
180,5.36,Red,Obeliskmato,USA,Spring
119,8.77,Dark Red,Tomatosio,USA,Winter
103,5.89,Red,Tomatosio,USA,Fall
191,4.39,Dark Red,Tomatooryx,Spain,Summer
125,6.05,Dark Red,Tomatoaster,USA,Spring
85,4.65,Red,Tomatoaster,USA,Spring
187,7.41,Dark Red,Tomatooryx,Spain,Spring
129,3.60,Orange,Obeliskmato,Brazil,Winter
95,3.44,Dark Red,Obeliskmato,China,Summer
191,4.70,Dark Red,Tomatooryx,India,Summer
105,9.01,Dark Red,Tomatosio,Brazil,Fall
192,9.64,Dark Red,Tomatosio,Spain,Summer
177,9.12,Dark Red,Tomatosio,China,Winter
131,7.03,Dark Red,Tomatosio,Brazil,Summer
204,5.79,Red,Tomatooryx,India,Spring
112,9.10,Red,Tomatooryx,India,Spring
222,6.74,Orange,Tomatoaster,Brazil,Fall
111,4.76,Dark Red,Tomatosio,USA,Fall
211,3.67,Orange,Tomatosio,USA,Summer
144,3.13,Red,Tomatooryx,China,Fall
205,3.01,Dark Red,Tomatosio,USA,Winter
136,5.54,Orange,Tomatosio,India,Summer
174,3.37,Dark Red,Tomatoaster,USA,Fall
135,5.74,Dark Red,Tomatooryx,China,Spring
142,9.94,Dark Red,Obeliskmato,China,Winter
136,8.40,Red,Tomatoaster,China,Fall
87,3.55,Red,Tomatosio,Turkey,Spring
111,9.70,Dark Red,Obeliskmato,Spain,Summer
124,5.27,Dark Red,Tomatoaster,USA,Winter
147,5.61,Dark Red,Tomatosio,Turkey,Summer
196,6.94,Orange,Tomatosio,USA,Summer
140,4.11,Orange,Tomatoaster,India,Spring
154,3.43,Orange,Tomatooryx,Brazil,Spring
161,9.89,Orange,Tomatoaster,Brazil,Fall
128,5.22,Orange,Obeliskmato,Turkey,Spring
114,4.04,Red,Obeliskmato,Brazil,Spring
159,8.39,Red,Tomatoaster,Brazil,Spring
78,5.87,Dark Red,Tomatooryx,China,Summer
70,6.03,Red,Tomatooryx,China,Summer
78,5.50,Red,Obeliskmato,China,Spring
98,7.27,Orange,Obeliskmato,India,Spring
210,5.68,Red,Obeliskmato,Brazil,Spring
106,3.81,Red,Obeliskmato,India,Spring
201,7.22,Orange,Tomatooryx,China,Fall
102,5.78,Dark Red,Obeliskmato,Turkey,Spring
106,6.23,Orange,Tomatoaster,China,Fall
156,3.34,Red,Tomatooryx,China,Spring
195,5.32,Red,Tomatooryx,Spain,Winter
177,6.86,Dark Red,Tomatosio,China,Fall
75,3.46,Red,Tomatooryx,India,Fall
217,6.43,Dark Red,Tomatoaster,Spain,Winter
213,5.20,Red,Tomatooryx,USA,Summer
102,8.97,Red,Tomatoaster,Spain,Summer
125,4.01,Dark Red,Tomatooryx,China,Summer
144,5.80,Red,Tomatosio,Brazil,Summer
78,9.73,Orange,Obeliskmato,Spain,Fall
127,5.15,Dark Red,Obeliskmato,Turkey,Spring
99,4.59,Orange,Tomatoaster,India,Winter
63,3.19,Dark Red,Tomatooryx,India,Winter
88,8.10,Dark Red,Obeliskmato,India,Spring
57,9.94,Dark Red,Tomatooryx,Brazil,Summer
149,6.27,Dark Red,Tomatoaster,Spain,Winter
106,5.80,Dark Red,Tomatooryx,Brazil,Spring
186,5.40,Red,Tomatosio,China,Spring
93,4.67,Red,Tomatosio,China,Summer
172,3.68,Orange,Tomatooryx,USA,Spring
107,4.50,Orange,Tomatoaster,India,Fall
114,9.19,Dark Red,Tomatosio,Turkey,Summer
216,4.87,Red,Tomatosio,Spain,Fall
70,5.22,Dark Red,Tomatosio,Turkey,Summer
85,9.63,Red,Tomatoaster,Spain,Winter
165,5.38,Red,Tomatosio,India,Fall
145,3.01,Dark Red,Obeliskmato,Spain,Fall
135,4.91,Dark Red,Obeliskmato,Turkey,Spring
174,8.52,Dark Red,Tomatosio,USA,Fall
132,3.23,Dark Red,Tomatosio,China,Spring
87,6.92,Dark Red,Tomatosio,Spain,Winter
215,8.52,Dark Red,Obeliskmato,Brazil,Summer
154,9.57,Orange,Tomatoaster,USA,Winter
117,4.82,Dark Red,Obeliskmato,India,Spring
145,3.01,Dark Red,Tomatooryx,China,Summer
115,8.40,Orange,Tomatoaster,Brazil,Fall
69,5.43,Red,Tomatooryx,Brazil,Fall
223,6.90,Dark Red,Tomatoaster,Brazil,Fall
127,4.19,Dark Red,Obeliskmato,Turkey,Summer
129,5.60,Dark Red,Tomatooryx,India,Winter
72,4.02,Red,Tomatosio,Brazil,Fall
121,9.88,Dark Red,Tomatosio,USA,Fall
187,9.99,Orange,Tomatoaster,Turkey,Winter
213,5.22,Dark Red,Obeliskmato,Spain,Fall
112,4.61,Red,Obeliskmato,India,Spring
161,5.33,Dark Red,Tomatosio,China,Spring
143,3.19,Red,Obeliskmato,China,Summer
59,4.17,Dark Red,Tomatoaster,Brazil,Winter
100,5.64,Dark Red,Tomatosio,Spain,Winter
211,5.95,Orange,Tomatooryx,Spain,Fall
110,5.54,Red,Tomatooryx,India,Spring
111,5.00,Dark Red,Tomatosio,Spain,Fall
89,3.96,Red,Tomatooryx,India,Spring
161,9.80,Dark Red,Tomatoaster,India,Fall
77,4.45,Dark Red,Obeliskmato,India,Spring
166,9.17,Dark Red,Tomatoaster,USA,Winter
125,3.37,Red,Obeliskmato,USA,Spring
103,7.16,Dark Red,Tomatosio,USA,Fall
224,5.93,Orange,Tomatooryx,Spain,Fall
98,5.42,Dark Red,Tomatooryx,Brazil,Winter
98,4.64,Orange,Tomatoaster,China,Fall
143,8.30,Red,Tomatooryx,India,Spring
50,5.67,Dark Red,Tomatosio,China,Fall
213,3.72,Dark Red,Tomatosio,India,Winter
177,7.26,Orange,Obeliskmato,Spain,Winter
208,5.39,Red,Tomatosio,Spain,Fall
117,7.73,Red,Tomatoaster,Brazil,Winter
61,7.95,Red,Tomatooryx,India,Fall
135,4.42,Red,Obeliskmato,India,Spring
200,7.39,Dark Red,Tomatosio,USA,Winter
136,8.10,Red,Obeliskmato,India,Spring
87,4.23,Dark Red,Tomatooryx,Turkey,Summer
156,5.88,Orange,Tomatosio,India,Fall
128,4.76,Dark Red,Tomatosio,USA,Winter
67,4.44,Red,Obeliskmato,India,Spring
209,8.90,Dark Red,Tomatosio,USA,Winter
119,8.51,Red,Tomatosio,Turkey,Spring
75,3.50,Red,Obeliskmato,India,Summer
50,3.06,Dark Red,Tomatooryx,China,Summer
205,8.31,Dark Red,Tomatoaster,Spain,Winter
110,5.46,Orange,Tomatosio,USA,Spring
150,8.22,Dark Red,Tomatooryx,Turkey,Spring
104,9.13,Dark Red,Tomatosio,Brazil,Summer
222,9.57,Dark Red,Tomatooryx,Brazil,Fall
208,3.57,Dark Red,Obeliskmato,China,Spring
90,5.34,Red,Tomatoaster,Turkey,Summer
176,6.33,Orange,Tomatooryx,Spain,Winter
74,3.61,Red,Obeliskmato,Spain,Summer
224,9.37,Orange,Tomatooryx,India,Summer
65,4.05,Red,Tomatoaster,India,Summer
50,4.87,Red,Tomatooryx,Brazil,Fall
106,5.28,Red,Tomatoaster,China,Spring
130,5.07,Orange,Tomatoaster,Turkey,Fall
129,3.17,Red,Obeliskmato,India,Summer
81,3.40,Red,Tomatooryx,Turkey,Summer
98,5.17,Dark Red,Tomatosio,India,Spring
224,9.44,Orange,Obeliskmato,Spain,Fall
115,7.62,Orange,Tomatosio,USA,Summer
140,5.68,Dark Red,Tomatosio,Brazil,Fall
77,5.27,Orange,Tomatosio,USA,Winter
209,7.20,Orange,Tomatoaster,Brazil,Winter
134,3.17,Red,Tomatosio,India,Summer
52,3.05,Dark Red,Obeliskmato,China,Spring
118,3.49,Orange,Tomatoaster,Spain,Summer
141,5.56,Red,Tomatooryx,China,Summer
78,9.00,Red,Obeliskmato,China,Summer
122,9.01,Red,Tomatooryx,Turkey,Fall
105,4.04,Dark Red,Tomatosio,Spain,Fall
137,8.31,Orange,Obeliskmato,USA,Fall
129,5.76,Red,Obeliskmato,Brazil,Summer
164,5.25,Dark Red,Tomatoaster,China,Spring
101,5.36,Dark Red,Obeliskmato,China,Spring
159,8.90,Dark Red,Tomatoaster,Brazil,Winter
137,5.93,Red,Obeliskmato,India,Winter
128,5.04,Dark Red,Tomatooryx,Turkey,Winter
64,3.43,Red,Obeliskmato,China,Summer
114,9.23,Dark Red,Tomatoaster,Brazil,Spring
89,8.05,Red,Obeliskmato,Turkey,Spring
99,5.00,Dark Red,Tomatosio,Brazil,Fall
79,5.05,Dark Red,Obeliskmato,India,Spring
58,3.26,Red,Obeliskmato,Turkey,Spring
156,7.32,Dark Red,Tomatooryx,Brazil,Spring
130,8.58,Dark Red,Tomatoaster,Spain,Fall
95,5.60,Dark Red,Tomatoaster,Spain,Summer
106,6.94,Dark Red,Tomatosio,Brazil,Fall
212,9.17,Dark Red,Tomatoaster,Brazil,Summer
138,6.26,Orange,Tomatoaster,China,Fall
154,8.82,Orange,Tomatosio,Brazil,Spring
198,7.38,Orange,Tomatosio,Brazil,Winter
77,3.48,Orange,Obeliskmato,China,Spring
102,5.35,Orange,Tomatosio,India,Fall
114,3.04,Dark Red,Tomatooryx,China,Summer
187,5.57,Red,Tomatosio,USA,Summer
72,8.50,Orange,Tomatoaster,Brazil,Spring
154,5.06,Dark Red,Tomatoaster,Spain,Winter
120,7.79,Dark Red,Tomatoaster,Spain,Summer
187,5.93,Dark Red,Obeliskmato,Brazil,Fall
118,5.44,Red,Obeliskmato,India,Spring
173,8.03,Dark Red,Tomatoaster,India,Fall
198,3.24,Orange,Tomatosio,India,Winter
146,5.35,Dark Red,Tomatosio,Spain,Winter
158,7.92,Orange,Tomatoaster,Spain,Spring
59,3.75,Dark Red,Tomatooryx,Turkey,Spring
149,4.77,Red,Obeliskmato,Turkey,Spring
121,8.07,Orange,Tomatoaster,Brazil,Fall
213,7.32,Orange,Obeliskmato,USA,Fall
130,5.28,Dark Red,Obeliskmato,India,Summer
168,5.20,Dark Red,Obeliskmato,India,Spring
120,7.32,Red,Obeliskmato,Turkey,Summer
132,3.44,Dark Red,Tomatosio,Turkey,Summer
71,3.93,Red,Tomatooryx,China,Summer
180,4.14,Orange,Obeliskmato,Brazil,Summer
60,3.77,Red,Tomatooryx,China,Spring
141,5.02,Dark Red,Obeliskmato,Brazil,Summer
121,8.25,Red,Tomatooryx,China,Spring
171,8.98,Orange,Tomatoaster,Brazil,Fall
89,7.28,Red,Tomatooryx,India,Spring
131,5.97,Red,Obeliskmato,India,Summer
130,3.31,Dark Red,Tomatoaster,Turkey,Spring
50,9.35,Orange,Tomatosio,China,Spring
72,3.13,Red,Tomatosio,Spain,Spring
104,3.63,Red,Obeliskmato,Turkey,Fall
125,8.33,Dark Red,Obeliskmato,Spain,Fall
116,8.46,Orange,Obeliskmato,Turkey,Summer
94,4.35,Dark Red,Tomatoaster,Turkey,Summer
144,3.57,Dark Red,Tomatooryx,Turkey,Winter
122,5.69,Red,Obeliskmato,Turkey,Summer
52,5.46,Orange,Tomatooryx,Turkey,Spring
145,3.49,Orange,Tomatoaster,Brazil,Spring
113,3.46,Dark Red,Tomatosio,Brazil,Summer
156,8.54,Dark Red,Obeliskmato,Brazil,Fall
132,5.78,Orange,Obeliskmato,India,Summer
168,6.39,Dark Red,Tomatoaster,Brazil,Winter
106,4.50,Dark Red,Tomatoaster,Brazil,Winter
124,8.53,Orange,Tomatoaster,USA,Fall
103,4.23,Red,Tomatoaster,Turkey,Summer
74,3.72,Red,Tomatosio,India,Spring
214,4.67,Orange,Tomatoaster,Spain,Fall
122,5.81,Orange,Tomatooryx,China,Winter
50,9.91,Red,Tomatooryx,India,Spring
104,9.25,Orange,Tomatooryx,USA,Spring
222,5.43,Orange,Tomatoaster,Turkey,Spring
145,3.71,Red,Tomatooryx,Spain,Spring
88,5.35,Orange,Tomatooryx,China,Spring
157,3.25,Orange,Tomatooryx,Brazil,Winter
57,3.84,Dark Red,Tomatooryx,China,Summer
154,6.26,Dark Red,Tomatoaster,Brazil,Fall
131,5.26,Orange,Tomatosio,Brazil,Fall
103,9.24,Red,Tomatosio,China,Summer
136,6.37,Dark Red,Obeliskmato,India,Spring
218,3.63,Dark Red,Tomatosio,Spain,Fall
58,3.97,Dark Red,Tomatooryx,China,Summer
139,4.54,Dark Red,Tomatoaster,Brazil,Summer
83,5.76,Red,Tomatooryx,Turkey,Spring
150,5.16,Dark Red,Tomatoaster,Brazil,Fall
85,5.82,Dark Red,Tomatooryx,India,Summer
165,4.55,Orange,Tomatosio,Turkey,Fall
116,6.60,Dark Red,Tomatooryx,Spain,Winter
172,3.33,Dark Red,Obeliskmato,USA,Summer
151,3.45,Orange,Tomatoaster,USA,Fall
107,3.58,Dark Red,Tomatosio,India,Summer
126,7.09,Dark Red,Tomatooryx,China,Summer
85,5.20,Dark Red,Obeliskmato,Spain,Summer
136,8.17,Orange,Tomatosio,Spain,Winter
117,3.80,Dark Red,Tomatosio,China,Winter
92,5.79,Red,Tomatooryx,Turkey,Winter
169,3.09,Red,Tomatooryx,China,Spring
181,6.50,Red,Tomatosio,Spain,Winter
186,8.79,Dark Red,Tomatosio,Spain,Fall
127,3.27,Red,Obeliskmato,China,Summer
108,7.95,Dark Red,Tomatosio,USA,Spring
121,8.55,Orange,Tomatosio,Brazil,Fall
110,3.74,Red,Obeliskmato,Brazil,Spring
111,5.28,Dark Red,Obeliskmato,India,Spring
57,5.62,Dark Red,Tomatoaster,Spain,Winter
139,5.21,Orange,Tomatosio,Spain,Fall
76,4.58,Red,Tomatooryx,Turkey,Spring
75,9.92,Dark Red,Tomatooryx,Brazil,Fall
146,7.99,Dark Red,Tomatoaster,Spain,Summer
126,4.50,Dark Red,Tomatoaster,China,Summer
132,4.67,Red,Obeliskmato,India,Summer
175,7.18,Dark Red,Tomatosio,USA,Summer
75,8.64,Dark Red,Tomatooryx,Turkey,Fall
95,4.13,Red,Tomatooryx,USA,Summer
103,6.94,Dark Red,Tomatosio,USA,Winter
178,6.46,Orange,Tomatosio,USA,Winter
108,8.93,Dark Red,Tomatooryx,India,Summer
169,4.01,Orange,Tomatosio,Spain,Fall
101,5.40,Orange,Tomatooryx,Spain,Summer
69,5.76,Dark Red,Obeliskmato,China,Spring
95,9.86,Red,Tomatooryx,India,Spring
127,3.72,Red,Tomatooryx,India,Spring
65,9.67,Red,Tomatooryx,India,Spring
193,5.38,Red,Tomatooryx,Turkey,Summer
114,5.74,Red,Tomatooryx,Turkey,Fall
63,4.42,Dark Red,Obeliskmato,Turkey,Summer
90,5.71,Red,Tomatooryx,Turkey,Spring
192,9.85,Orange,Tomatooryx,Brazil,Winter
107,3.18,Dark Red,Tomatosio,Brazil,Fall
218,6.32,Dark Red,Tomatosio,Turkey,Winter
128,8.94,Orange,Tomatoaster,USA,Fall
105,5.35,Dark Red,Obeliskmato,Spain,Summer
140,6.67,Red,Obeliskmato,USA,Spring
185,8.48,Orange,Obeliskmato,Spain,Spring
132,3.98,Red,Obeliskmato,India,Fall
125,5.00,Orange,Obeliskmato,Spain,Fall
89,4.71,Red,Obeliskmato,India,Summer
74,3.29,Orange,Obeliskmato,Spain,Winter
217,9.31,Orange,Tomatosio,Brazil,Winter
129,7.25,Dark Red,Tomatooryx,China,Winter
135,5.61,Dark Red,Tomatoaster,Spain,Winter
110,4.18,Dark Red,Tomatooryx,China,Spring
156,7.75,Dark Red,Obeliskmato,India,Spring
98,9.29,Orange,Tomatoaster,Spain,Winter
201,8.27,Dark Red,Tomatoaster,Spain,Winter
152,5.26,Orange,Tomatooryx,Brazil,Fall
194,8.24,Dark Red,Tomatoaster,India,Winter
129,9.39,Red,Tomatosio,Brazil,Winter
107,9.87,Red,Tomatoaster,China,Winter
69,3.00,Dark Red,Tomatooryx,India,Spring
174,8.61,Dark Red,Tomatosio,China,Winter
124,5.09,Dark Red,Tomatooryx,Turkey,Spring
150,5.20,Red,Tomatoaster,Brazil,Spring
155,6.36,Dark Red,Tomatosio,Brazil,Summer
126,4.41,Red,Tomatooryx,India,Fall
104,8.69,Orange,Tomatosio,USA,Fall
153,6.62,Dark Red,Tomatoaster,Spain,Fall
135,7.14,Orange,Tomatooryx,USA,Spring
114,5.00,Dark Red,Obeliskmato,India,Spring
102,5.78,Dark Red,Tomatooryx,Spain,Winter
128,9.57,Orange,Tomatoaster,Spain,Winter
63,7.35,Red,Tomatosio,Brazil,Summer
186,9.12,Orange,Tomatoaster,USA,Fall
204,7.89,Orange,Tomatoaster,China,Fall
143,6.23,Orange,Tomatosio,Spain,Summer
145,8.96,Orange,Tomatoaster,Brazil,Fall
58,4.48,Red,Tomatoaster,India,Summer
122,8.96,Orange,Tomatoaster,Brazil,Spring
215,4.74,Dark Red,Obeliskmato,India,Summer
111,5.84,Dark Red,Obeliskmato,Turkey,Winter
186,5.55,Red,Tomatosio,Brazil,Fall
131,3.60,Orange,Tomatosio,Spain,Fall
72,6.04,Dark Red,Tomatosio,USA,Winter
103,5.84,Red,Tomatooryx,USA,Summer
51,4.22,Orange,Obeliskmato,Turkey,Winter
56,7.64,Dark Red,Tomatooryx,China,Summer
59,6.82,Red,Tomatoaster,Spain,Fall
64,5.08,Dark Red,Tomatoaster,Brazil,Winter
178,5.80,Red,Obeliskmato,China,Winter
95,6.63,Orange,Tomatosio,Spain,Winter
95,4.64,Red,Tomatoaster,India,Summer
89,10.00,Red,Tomatoaster,India,Winter
99,5.42,Dark Red,Tomatosio,China,Spring
171,7.61,Dark Red,Obeliskmato,Turkey,Fall
54,4.23,Red,Tomatoaster,China,Winter
110,5.69,Dark Red,Tomatosio,USA,Winter
215,6.32,Orange,Tomatosio,Spain,Summer
124,5.88,Red,Tomatooryx,India,Spring
131,4.79,Red,Obeliskmato,China,Spring
111,4.28,Red,Tomatoaster,China,Winter
154,3.49,Dark Red,Tomatooryx,India,Winter
144,5.12,Dark Red,Obeliskmato,China,Fall
81,4.65,Dark Red,Obeliskmato,USA,Spring
186,6.51,Red,Tomatoaster,China,Fall
114,6.43,Red,Tomatooryx,Turkey,Spring
87,3.07,Red,Obeliskmato,Turkey,Spring
195,8.65,Orange,Tomatooryx,Brazil,Winter
63,5.80,Dark Red,Obeliskmato,India,Summer
79,7.04,Dark Red,Tomatosio,Turkey,Winter
129,8.57,Orange,Obeliskmato,China,Summer
72,3.78,Dark Red,Obeliskmato,China,Winter
64,5.27,Red,Obeliskmato,China,Spring
76,6.86,Dark Red,Obeliskmato,China,Spring
156,5.24,Dark Red,Tomatooryx,Brazil,Winter
112,5.94,Orange,Tomatosio,USA,Winter
131,3.84,Red,Tomatooryx,Spain,Fall
72,4.89,Red,Tomatooryx,Turkey,Spring
177,7.79,Red,Tomatoaster,Spain,Fall
102,8.59,Orange,Tomatosio,Turkey,Winter
53,3.30,Red,Obeliskmato,China,Spring
54,3.52,Red,Tomatooryx,India,Spring
131,7.07,Dark Red,Tomatooryx,USA,Spring
221,8.63,Orange,Tomatosio,Spain,Summer
119,9.93,Orange,Tomatosio,Spain,Winter
139,6.00,Red,Obeliskmato,China,Summer
139,5.53,Dark Red,Obeliskmato,India,Winter
108,5.25,Dark Red,Tomatosio,India,Winter
113,5.25,Dark Red,Tomatooryx,Turkey,Fall
62,3.35,Orange,Tomatosio,Spain,Spring
152,8.16,Orange,Tomatoaster,Brazil,Fall
135,5.19,Dark Red,Tomatooryx,USA,Winter
176,5.94,Dark Red,Tomatosio,Spain,Spring
140,5.56,Dark Red,Tomatoaster,Turkey,Fall
132,7.27,Red,Tomatosio,USA,Summer
195,4.63,Orange,Obeliskmato,Brazil,Winter
112,3.38,Orange,Tomatooryx,China,Fall
121,9.18,Orange,Tomatooryx,Spain,Summer
114,7.30,Dark Red,Tomatosio,USA,Summer
86,3.65,Red,Tomatooryx,China,Summer
185,3.32,Red,Tomatoaster,China,Summer
120,6.08,Orange,Tomatosio,Brazil,Summer
124,5.32,Dark Red,Tomatosio,China,Summer
192,3.68,Dark Red,Tomatosio,USA,Spring
95,5.20,Dark Red,Obeliskmato,Turkey,Spring
196,7.12,Orange,Tomatosio,Brazil,Winter
163,8.84,Dark Red,Tomatosio,Brazil,Fall
101,4.62,Red,Tomatooryx,India,Spring
107,8.70,Dark Red,Obeliskmato,USA,Fall
136,4.73,Dark Red,Obeliskmato,Turkey,Fall
204,9.89,Orange,Tomatooryx,USA,Winter
103,3.39,Red,Tomatooryx,Turkey,Fall
200,5.95,Orange,Tomatoaster,Brazil,Spring
133,4.31,Dark Red,Obeliskmato,India,Summer
201,9.67,Dark Red,Tomatoaster,China,Winter
91,7.83,Dark Red,Tomatoaster,Turkey,Summer
224,7.04,Dark Red,Tomatoaster,USA,Summer
77,5.07,Orange,Tomatooryx,China,Fall
74,6.13,Dark Red,Tomatosio,USA,Winter
65,4.68,Red,Obeliskmato,China,Summer
118,4.72,Dark Red,Tomatooryx,China,Spring
51,7.29,Red,Obeliskmato,India,Spring
120,7.14,Dark Red,Tomatooryx,China,Summer
137,8.74,Dark Red,Tomatoaster,USA,Fall
143,4.28,Red,Tomatooryx,China,Summer
86,3.77,Red,Tomatooryx,India,Spring
68,8.06,Dark Red,Obeliskmato,India,Summer
108,5.76,Red,Obeliskmato,China,Spring
96,7.36,Red,Tomatoaster,India,Summer
137,4.00,Dark Red,Obeliskmato,India,Summer
98,7.28,Orange,Obeliskmato,India,Spring
145,7.22,Dark Red,Tomatooryx,China,Winter
75,5.81,Red,Tomatoaster,India,Fall
122,8.09,Red,Tomatoaster,India,Summer
146,3.85,Red,Tomatosio,India,Winter
153,9.60,Orange,Obeliskmato,Spain,Winter
79,8.00,Orange,Tomatosio,Brazil,Fall
227,5.31,Dark Red,Tomatosio,Brazil,Spring
101,3.81,Red,Tomatosio,India,Spring
51,7.38,Red,Tomatooryx,Turkey,Summer
225,7.88,Orange,Tomatosio,Brazil,Fall
192,9.17,Dark Red,Tomatoaster,Brazil,Spring
76,5.23,Orange,Tomatoaster,China,Spring
141,7.07,Red,Tomatosio,Brazil,Spring
172,7.89,Dark Red,Tomatooryx,Spain,Fall
117,5.06,Red,Tomatoaster,India,Summer
190,5.19,Red,Obeliskmato,India,Fall
125,6.61,Red,Tomatosio,Turkey,Summer
147,4.05,Dark Red,Obeliskmato,China,Summer
137,4.28,Red,Obeliskmato,India,Spring
150,5.83,Dark Red,Tomatoaster,Brazil,Winter
106,3.45,Dark Red,Tomatooryx,Turkey,Winter
70,7.78,Orange,Tomatosio,India,Fall
119,5.20,Dark Red,Tomatooryx,China,Spring
114,3.63,Red,Tomatosio,Spain,Spring
70,6.21,Red,Tomatoaster,India,Summer
134,4.25,Red,Tomatooryx,India,Spring
100,4.09,Dark Red,Tomatoaster,China,Summer
120,4.37,Orange,Obeliskmato,India,Fall
137,5.65,Orange,Tomatosio,Spain,Summer
212,6.95,Orange,Tomatosio,Brazil,Fall
129,5.47,Dark Red,Tomatooryx,China,Spring
88,3.52,Orange,Obeliskmato,Brazil,Fall
145,6.68,Dark Red,Tomatosio,Turkey,Spring
106,3.98,Dark Red,Tomatosio,China,Summer
119,3.15,Dark Red,Tomatooryx,China,Summer
92,5.01,Orange,Tomatoaster,China,Spring
76,7.26,Red,Obeliskmato,Brazil,Spring
211,7.29,Orange,Obeliskmato,USA,Winter
78,8.63,Dark Red,Tomatooryx,USA,Winter
91,7.20,Dark Red,Obeliskmato,India,Summer
125,7.51,Dark Red,Tomatosio,Spain,Spring
221,6.50,Dark Red,Obeliskmato,USA,Fall
84,8.13,Red,Tomatosio,China,Fall
167,7.36,Orange,Tomatoaster,Spain,Winter
93,5.21,Orange,Tomatoaster,Brazil,Winter
96,6.35,Red,Tomatoaster,China,Summer
106,9.00,Orange,Tomatoaster,Turkey,Fall
90,7.14,Orange,Tomatoaster,Spain,Summer
99,5.79,Dark Red,Tomatooryx,India,Summer
110,5.29,Dark Red,Tomatoaster,Spain,Spring
88,9.57,Dark Red,Tomatosio,USA,Spring
142,4.57,Dark Red,Obeliskmato,Brazil,Spring
142,4.57,Red,Obeliskmato,China,Spring
132,6.29,Dark Red,Tomatoaster,USA,Fall
124,5.58,Red,Tomatooryx,Turkey,Summer
192,6.37,Dark Red,Tomatooryx,India,Spring
71,4.54,Dark Red,Tomatosio,China,Spring
143,4.19,Orange,Tomatosio,Spain,Fall
123,6.41,Dark Red,Tomatosio,Turkey,Fall
138,4.49,Red,Obeliskmato,China,Spring
203,5.49,Orange,Tomatoaster,USA,Winter
203,3.88,Red,Tomatooryx,China,Summer
133,5.36,Red,Tomatooryx,Brazil,Spring
125,7.63,Red,Obeliskmato,Turkey,Summer
127,8.46,Dark Red,Tomatoaster,China,Winter
127,3.24,Dark Red,Tomatosio,India,Summer
90,5.22,Dark Red,Tomatooryx,China,Spring
